Group;Total;AXW (D_0A6FF7A5-3415-4CB4-995F-8F393BC2F2E2);AXW Default Annotations (C_AD61FECA-7D5A-46E6-ABA6-212B7773679F);BAX (D_490B69D4-79CC-4BFD-B932-2389A5BC55DE);BAX Default Annotations (C_8968879C-B2BC-4FEA-B95F-60B5FFC9CBB6);SAX (D_674969D0-4D66-4A65-8D2F-28274AD7C8A4);SAX Default Annotations (C_C0FC58F8-504B-4C64-B741-A61824DA6C66);AXS-normal (D_6D07C059-F8CD-4F7E-B69E-02176068C081);AXS-normal Forschung (C_A1BB5E4F-C4F8-46B6-BA18-EB664C231036);AXV (D_70CAAD92-D160-494F-A2C3-7F4B05302621);AXV Default Annotations (C_49BCF063-3780-47AE-A5D6-1E8DB0DB8F4F);AXU (D_AA0EC5FB-BE03-473C-A0D9-BADAC12B73FC);AXU Default Annotations (C_1C6A20E2-668E-45E7-9E51-C4A9EBA4197E);AXR (D_BA0BE279-69FF-409A-B02A-0889085FDCAD);AXR Default Annotations (C_6E8C8418-604A-494B-B209-377540AF832E)
"vorderist ";2;;;;;;;2;2;;;;;;
vorderôst;2;;;;;;;2;2;;;;;;
"vorderôst
";2;;;;;;;2;2;;;;;;
vraisleich;2;;;;;2;2;;;;;;;;
vraisleichen;2;;;;;2;2;;;;;;;;
vraisleicher;1;;;;;1;1;;;;;;;;
vrayslich;5;;;;;5;5;;;;;;;;
vrayssam;2;;;;;2;2;;;;;;;;
vreisam;1;;;;;;;;;;;1;1;;
vreislîchen;2;;;;;;;;;;;2;2;;
vreislîcher;1;;;;;;;;;;;1;1;;
vrevel;1;;;;;;;;;;;;;1;1
vrevellîche;4;;;;;;;;;;;;;4;4
vrevellîchen;1;;;;;;;;;;;;;1;1
vrevellîcher;2;;;;;;;;;;;;;2;2
vûzen;2;;;;;;;2;2;;;;;;
wald;12;10;10;;;2;2;;;;;;;;
walde;15;;;;;;;2;2;;;12;12;1;1
"walde ";3;;;;;;;2;2;;;;;1;1
walt;39;2;2;;;;;8;8;;;16;16;13;13
"walt
";2;;;;;;;2;2;;;;;;
"walt ";2;;;;;;;2;2;;;;;;
wazzer;6;;;;;;;;;;;4;4;2;2
"wazzer ";6;;;;;;;2;2;2;2;;;2;2
weder;1;;;;;;;;;;;1;1;;
"weder ";2;;;;;;;2;2;;;;;;
"weide
";2;;;;;;;2;2;;;;;;
"weide
";1;;;;;;;;;;;;;1;1
"werlt ";2;;;;;;;2;2;;;;;;
"werltscande
";2;;;;;;;2;2;;;;;;
wespen;1;;;;;;;1;1;;;;;;
"weter ";2;;;;;;;;;2;2;;;;
wild;8;6;6;;;2;2;;;;;;;;
wilde;22;;;;;;;;;;;9;9;13;13
"wilde ";5;;;;;;;4;4;;;;;1;1
wilden;14;6;6;;;1;1;;;;;;;7;7
"wilden ";5;;;;;1;1;3;3;;;;;1;1
wilder;4;4;4;;;;;;;;;;;;
wildes;3;;;;;2;2;;;;;1;1;;
wildiu;2;;;;;;;;;;;;;2;2
willde;2;;;;;2;2;;;;;;;;
willden;6;;;;;6;6;;;;;;;;
willdes;2;;;;;2;2;;;;;;;;
wind;3;2;2;;;1;1;;;;;;;;
winde;1;;;;;;;;;;;1;1;;
"winde
";4;;;;;;;4;4;;;;;;
"winde ";2;;;;;;;;;;;;;2;2
"wint ";2;;;;;;;;;2;2;;;;
